Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2010,Yorba Linda,64414,4698,7.3,4009,6.2,3818,5.9,4817,7.5,4226,6.6,7424,11.5,7676,11.9,10909,16.9,4833,7.5,3779,5.9,4872,7.6,2568,4,785,1.2
2011,Alameda,74770,3388,4.5,4145,5.5,4173,5.6,3942,5.3,5373,7.2,11787,15.8,9596,12.8,12046,16.1,6383,8.5,4813,6.4,5025,6.7,2826,3.8,1273,1.7
2011,Alhambra,83703,3172,3.8,4476,5.3,5385,6.4,3592,4.3,4989,6,14771,17.6,10118,12.1,12933,15.5,7023,8.4,5551,6.6,5665,6.8,3643,4.4,2385,2.8
2011,Anaheim,341348,26359,7.7,25719,7.5,24070,7.1,24673,7.2,26690,7.8,58115,17,44458,13,44020,12.9,17289,5.1,15941,4.7,17127,5,10953,3.2,5934,1.7
2011,Antioch,104027,5942,5.7,5711,5.5,8325,8,9813,9.4,9270,8.9,12813,12.3,12015,11.5,17193,16.5,8422,8.1,5834,5.6,5359,5.2,2759,2.7,571,0.5
2011,Apple Valley,70173,3745,5.3,4330,6.2,6233,8.9,7022,10,4159,5.9,7623,10.9,7437,10.6,9427,13.4,4343,6.2,6229,8.9,5032,7.2,3585,5.1,1008,1.4
2011,Arden-Arcade,91977,6614,7.2,4890,5.3,5102,5.5,5213,5.7,6102,6.6,12558,13.7,10182,11.1,14455,15.7,7816,8.5,4979,5.4,5889,6.4,5006,5.4,3171,3.4
2011,Bakersfield,352429,31270,8.9,29706,8.4,29273,8.3,31135,8.8,29044,8.2,51934,14.7,43497,12.3,46058,13.1,18351,5.2,13476,3.8,14451,4.1,10213,2.9,4021,1.1
2011,Baldwin Park,75937,5183,6.8,4682,6.2,6467,8.5,8006,10.5,7317,9.6,11053,14.6,10872,14.3,9746,12.8,3360,4.4,2979,3.9,3337,4.4,1960,2.6,975,1.3
2011,Bellflower,77179,6654,8.6,6125,7.9,6987,9.1,7391,9.6,6537,8.5,11838,15.3,9587,12.4,9447,12.2,3687,4.8,3604,4.7,2599,3.4,1978,2.6,745,1
2011,Berkeley,113893,4099,3.6,3816,3.4,3180,2.8,11677,10.3,18315,16.1,17503,15.4,14350,12.6,12616,11.1,5806,5.1,6695,5.9,9363,8.2,3857,3.4,2616,2.3
2011,Buena Park,81754,4298,5.3,6432,7.9,5266,6.4,5919,7.2,6908,8.4,10202,12.5,12619,15.4,11355,13.9,4977,6.1,3673,4.5,6173,7.6,2903,3.6,1029,1.3
2011,Burbank,104096,5811,5.6,6034,5.8,6143,5.9,5159,5,5108,4.9,19471,18.7,16227,15.6,14574,14,5442,5.2,5612,5.4,7448,7.2,4719,4.5,2348,2.3
2011,Camarillo,65904,4446,6.7,4543,6.9,6358,9.6,4068,6.2,2860,4.3,8307,12.6,9544,14.5,8665,13.1,4635,7,2398,3.6,4246,6.4,3959,6,1875,2.8
2011,Carlsbad,106895,8094,7.6,6530,6.1,7207,6.7,5211,4.9,5259,4.9,12963,12.1,16585,15.5,15706,14.7,6546,6.1,5676,5.3,6945,6.5,6625,6.2,3548,3.3
2011,Carson,92387,5761,6.2,4273,4.6,7006,7.6,6987,7.6,7646,8.3,12202,13.2,10872,11.8,14857,16.1,4094,4.4,5926,6.4,8135,8.8,3529,3.8,1099,1.2
2011,Chico,86287,4951,5.7,3676,4.3,5140,6,8381,9.7,14406,16.7,11208,13,9633,11.2,10777,12.5,4612,5.3,3868,4.5,3894,4.5,4363,5.1,1378,1.6
2011,Chino,79061,5438,6.9,5677,7.2,4719,6,5534,7,4934,6.2,13587,17.2,13317,16.8,10489,13.3,3366,4.3,3759,4.8,5425,6.9,2489,3.1,327,0.4
2011,Chino Hills,75931,4167,5.5,4228,5.6,8423,11.1,6325,8.3,6668,8.8,7767,10.2,9995,13.2,14834,19.5,4862,6.4,3618,4.8,3239,4.3,1744,2.3,61,0.1
2011,Chula Vista,247514,16551,6.7,19519,7.9,17994,7.3,19909,8,17254,7,35635,14.4,37351,15.1,33763,13.6,12844,5.2,11676,4.7,14364,5.8,7581,3.1,3073,1.2
2011,Citrus Heights,84342,6437,7.6,4878,5.8,5073,6,5444,6.5,7213,8.6,11464,13.6,10669,12.6,13910,16.5,4819,5.7,4871,5.8,5641,6.7,2601,3.1,1322,1.6
2011,Clovis,96909,7061,7.3,7820,8.1,6943,7.2,7340,7.6,6543,6.8,13043,13.5,11934,12.3,13982,14.4,6203,6.4,6260,6.5,5783,6,2900,3,1097,1.1
2011,Compton,97166,9762,10,8573,8.8,8336,8.6,8031,8.3,8547,8.8,15753,16.2,11640,12,11550,11.9,4029,4.1,3381,3.5,4128,4.2,2369,2.4,1067,1.1
2011,Concord,124059,8505,6.9,8762,7.1,7961,6.4,6535,5.3,7199,5.8,19905,16,18171,14.6,18756,15.1,8059,6.5,5935,4.8,7799,6.3,4248,3.4,2224,1.8
2011,Corona,155884,11925,7.6,12066,7.7,12454,8,13011,8.3,12363,7.9,21109,13.5,24239,15.5,22290,14.3,8810,5.7,5897,3.8,6639,4.3,3341,2.1,1740,1.1
2011,Costa Mesa,111603,8006,7.2,6369,5.7,5805,5.2,6583,5.9,9030,8.1,21006,18.8,17023,15.3,14364,12.9,7370,6.6,5433,4.9,6337,5.7,2594,2.3,1683,1.5
