Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2015,Yorba Linda,1128,2.4,1461,3.1,6317,13.2,10777,22.6,2820,5.9,16397,34.3,8881,18.6
2015,Yuba City,6680,15.5,4228,9.8,10123,23.6,10308,24.0,4303,10.0,5044,11.7,2287,5.3
2016,Alameda,2611,4.4,3121,5.3,8114,13.8,11849,20.1,4214,7.1,18387,31.2,10689,18.1
2016,Alhambra,7859,12.6,3419,5.5,17200,27.6,10077,16.2,4185,6.7,13329,21.4,6319,10.1
2016,Anaheim,33385,14.7,23679,10.4,51508,22.7,45995,20.3,16148,7.1,42335,18.6,14071,6.2
2016,Antioch,4673,6.3,5079,6.8,19412,26.0,22348,30.0,7018,9.4,12146,16.3,3868,5.2
2016,Apple Valley,1962,4.2,4947,10.6,12575,27.0,15981,34.3,4200,9.0,4328,9.3,2566,5.5
2016,Arden-Arcade,3428,4.8,3913,5.4,18745,26.0,13914,19.3,7508,10.4,14740,20.5,9764,13.6
2016,Bakersfield,21551,9.7,23425,10.5,55702,25.1,52531,23.6,20235,9.1,33073,14.9,15789,7.1
2016,Baldwin Park,11099,22.0,7070,14.0,14026,27.8,9271,18.4,2400,4.8,6001,11.9,610,1.2
2016,Bellflower,7162,14.2,5787,11.4,12955,25.6,11623,23.0,4079,8.1,6767,13.4,2192,4.3
2016,Berkeley,1077,1.4,1151,1.5,4560,5.9,8759,11.3,3127,4.1,26535,34.4,31975,41.4
2016,Buena Park,7262,13.1,5942,10.7,12106,21.8,12103,21.8,4382,7.9,9651,17.4,4164,7.5
2016,Burbank,4333,5.7,3688,4.9,15462,20.4,13299,17.5,6948,9.1,22767,30.0,9475,12.5
2016,Camarillo,1282,2.8,2322,5.1,7740,17.0,11772,25.9,5947,13.1,11155,24.5,5305,11.7
2016,Carlsbad,1631,2.1,1801,2.3,7201,9.1,15450,19.5,5264,6.6,27005,34.1,20940,26.4
2016,Carmichael,1280,2.8,1645,3.7,7930,17.6,15098,33.6,5963,13.3,7677,17.1,5363,11.9
2016,Carson,7700,12.0,5030,7.8,14388,22.4,14061,21.9,5663,8.8,12173,18.9,5224,8.1
2016,Castro Valley,1686,3.6,1683,3.6,9037,19.1,12356,26.2,2728,5.8,12601,26.7,7130,15.1
2016,Chico,2101,4.0,2790,5.3,9337,17.6,16184,30.6,5152,9.7,10200,19.3,7186,13.6
2016,Chino,5998,9.4,7682,12.0,15053,23.5,16672,26.0,4725,7.4,9671,15.1,4345,6.8
2016,Chino Hills,1484,2.8,1431,2.7,11212,21.4,10644,20.3,4117,7.8,16432,31.3,7193,13.7
2016,Chula Vista,15947,8.9,19793,11.0,39047,21.7,40926,22.8,14815,8.2,32971,18.3,16282,9.1
2016,Citrus Heights,3924,6.4,2771,4.5,14911,24.2,19972,32.5,7711,12.5,8993,14.6,3233,5.3
2016,Clovis,2266,3.4,4873,7.4,14189,21.5,17010,25.7,5979,9.0,14772,22.4,6983,10.6
2016,Compton,15327,27.2,8372,14.9,13874,24.6,11457,20.3,2760,4.9,3530,6.3,1043,1.9
2016,Concord,5301,5.9,4008,4.5,15780,17.6,20752,23.1,8887,9.9,25001,27.9,9980,11.1
2016,Corona,9367,8.4,8367,7.5,25996,23.3,29304,26.3,10622,9.5,18453,16.6,9320,8.4
2016,Costa Mesa,10367,13.2,4322,5.5,16011,20.5,16032,20.5,4664,6.0,18030,23.0,8827,11.3
2016,Daly City,6216,7.8,4960,6.2,13200,16.5,14812,18.5,7091,8.9,25960,32.5,7657,9.6
2016,Davis,274,0.8,649,1.8,3002,8.5,4525,12.9,1692,4.8,10532,29.9,14494,41.2
2016,Downey,7609,10.5,5972,8.3,20148,27.8,15978,22.1,5503,7.6,11969,16.5,5174,7.2
2016,East Los Angeles,24534,31.7,12733,16.4,21122,27.3,10392,13.4,2931,3.8,4363,5.6,1360,1.8
2016,El Cajon,7465,11.5,5171,8.0,17646,27.2,17175,26.5,5540,8.5,8719,13.5,3103,4.8
2016,Elk Grove,5428,5.0,5270,4.9,17081,15.8,26278,24.4,12664,11.7,27139,25.2,13956,12.9
2016,El Monte,20153,26.6,11928,15.7,21558,28.4,10713,14.1,3687,4.9,6561,8.7,1205,1.6
2016,Escondido,12857,13.2,9697,10.0,23940,24.6,21786,22.4,6722,6.9,15593,16.0,6719,6.9
2016,Fairfield,5045,6.7,5973,7.9,17546,23.3,19060,25.3,8559,11.4,14636,19.4,4543,6.0
